Symbol,Company Name,Date,TobinsQ
AVGO,Broadcom Inc.,31-12-20,2.352752755
AVGO,Broadcom Inc.,31-12-19,1.863540774
AVGO,Broadcom Inc.,31-12-18,2.034280538
AVGO,Broadcom Inc.,29-12-17,1.93555437
AVGO,Broadcom Inc.,30-12-16,1.411584449
BR,Broadridge Financial Solutions,30-12-22,1.932609563
BR,Broadridge Financial Solutions,31-12-21,2.629790882
BR,Broadridge Financial Solutions,31-12-20,3.628074768
BR,Broadridge Financial Solutions,31-12-19,3.648229443
BR,Broadridge Financial Solutions,31-12-18,3.369783944
BR,Broadridge Financial Solutions,29-12-17,3.353110674
BR,Broadridge Financial Solutions,30-12-16,2.732762692
CHRW,C. H. Robinson,30-12-22,1.833056244
CHRW,C. H. Robinson,31-12-21,1.998489405
CHRW,C. H. Robinson,31-12-20,2.454438708
